,lr,hidden_size,downsampling,acc
0,0.01,100,5,0.9375
0,0.01,100,15,0.8125
0,0.01,100,30,0.75
0,0.01,200,5,0.625
0,0.01,200,15,0.875
0,0.01,200,30,0.75
0,0.01,300,5,0.4375
0,0.01,300,15,0.3125
0,0.01,300,30,0.3125
0,0.001,100,5,0.875
0,0.001,100,15,0.5
0,0.001,100,30,0.875
0,0.001,200,5,0.875
0,0.001,200,15,1.0
0,0.001,200,30,0.625
0,0.001,300,5,0.75
0,0.001,300,15,0.5
0,0.001,300,30,0.6875
0,0.0001,100,5,0.25
0,0.0001,100,15,0.25
0,0.0001,100,30,0.0
0,0.0001,200,5,0.5
0,0.0001,200,15,0.4375
0,0.0001,200,30,0.5625
0,0.0001,300,5,0.5625
0,0.0001,300,15,0.625
0,0.0001,300,30,0.5
